s1_entity_id	matched_entity_ids
S1-111171787	S3-42325402,S3-602836082
S1-111199932	S2-13171004,S2-623809302,S2-93644230,S3-579687911
S1-111522275	S2-215814288,S2-279605052,S2-435854364,S2-43824315,S2-615968375,S2-761058995,S2-861502204,S2-879224565,S2-918497788,S2-947278826,S3-168387790,S3-294493552,S3-308387417
S1-112114857	S2-652865664,S2-979491728,S3-135845521
S1-11262357	S2-185474999,S2-388199351,S3-272945710,S3-303654043,S3-470681299
S1-113766896	S2-116305673,S2-423709852,S2-782548171,S3-928672726
S1-113974256	S2-63102412,S3-566108511
S1-114011157	S2-722621978,S3-787075427
S1-114404257	S2-430825761,S2-43340562,S2-745926940,S2-832384133,S2-982347109,S3-124849980,S3-143639537,S3-635167078
S1-115095576	S2-568443727,S2-685175984,S3-187928201,S3-953311716
S1-116924607	S2-291637211,S2-689548861
S1-116929405	S2-40008649,S2-606239582,S2-63983236,S2-642627622,S3-436689861,S3-610365463
S1-118100798	S2-395354705,S2-966112447,S3-348464499,S3-403459104,S3-566214585
S1-118810790	S2-123160256,S2-279475524,S2-283438467,S2-324680018,S2-339803278,S2-343549845,S2-397787002,S2-436021164,S2-449410675,S2-574390896,S2-596619574,S2-717360790,S2-751842173,S2-82076220,S2-894905288,S2-965281607,S3-532115437,S3-539377443,S3-744666047,S3-984802705
S1-11922896	S2-326328238,S2-514874348,S2-544605120,S2-813344950,S2-870405082,S3-102050484
S1-1194016	S3-37186135,S3-610249802,S3-88963525
S1-119720775	S2-204682450,S2-667676743,S2-864457884,S3-718092057
S1-119843053	S3-18101426,S3-23583705,S3-68400197,S3-867947257,S3-938266033
S1-1199286	S2-606022044,S2-74664922,S2-918403623,S3-327893550
S1-11993559	S2-237166386,S2-593859293,S3-314517852,S3-799179728
S1-121650297	S2-584519130,S2-834190652,S2-995488469,S3-376977445,S3-642010405
S1-121662589	S2-582632454,S2-799169327,S3-404915788
S1-121668737	S2-375933154,S3-234826136,S3-409405274
S1-122263413	S2-159525889,S3-193239277,S3-404747630,S3-755736162,S3-930880303
S1-122344288	S2-103932582,S2-1138939,S2-976016640
S1-122624972	S2-301357941,S3-453331833
S1-123741037	S2-485035907,S2-636323678,S2-744858978,S3-390263132,S3-861736313
S1-124128685	S2-169426686,S2-220440977,S2-576765768,S2-676355997,S3-13627793,S3-152409826,S3-432726214,S3-524812356,S3-825797061,S3-878758002,S3-972453327
S1-124334903	S2-148810347,S2-154561848,S2-227569602,S2-373476200,S2-470764428,S3-112040594,S3-15480970,S3-661959082,S3-795324312
S1-124645245	S2-149767440,S2-59000138,S3-133324385,S3-952700962
S1-124987634	S2-487102931,S3-468813596,S3-56585757,S3-7520603,S3-985261783
S1-126164793	S2-536679327,S2-872730369,S2-918683063,S2-939299911,S3-18850338,S3-527022268,S3-637008279,S3-750433560
S1-126219041	S2-109150002,S2-20514568,S3-215719971,S3-302779454,S3-680416366,S3-826055662
S1-126947501	S2-753997435
S1-127235024	S2-241475807,S2-988793895,S3-113699833,S3-314005132,S3-503961111,S3-867001705
S1-127519074	S2-288956273,S3-58602849
S1-127903743	S2-44031106,S2-637538344,S2-891083835,S3-474605405,S3-67801082,S3-766275609,S3-792432983,S3-866417393
S1-128054006	S2-170826420,S3-119362017,S3-990132857
S1-129088147	S2-188015326,S2-414624283,S2-45175061,S2-666628100,S3-481255380,S3-559994828
S1-129778530	S2-240240213,S3-191128226,S3-312382980,S3-45994650,S3-576228832
S1-130136534	S2-146750590,S2-302398933,S2-456107536,S2-852476966,S3-14538925,S3-643676892,S3-654279319
S1-130635319	S2-361343187,S2-687015211,S2-770975297
S1-131712176	S2-371598868,S2-58582364,S2-893216485,S3-306949929,S3-457387097,S3-689981423,S3-725827527
S1-131955393	S2-166651826,S3-750927235
S1-132619617	S2-493310248,S3-594456154,S3-722971093
S1-132928595	S3-768052980,S3-810398276,S3-887705518
S1-133196549	S2-13336249,S2-351007231,S2-542507082,S2-638383040,S2-758601434,S2-864575506,S3-199489521,S3-39595865,S3-820090238
S1-133717606	S2-83466247,S3-765525588,S3-832383532,S3-974324175
S1-13374672	S2-3354926,S2-993687267,S3-601440567
S1-134484414	S2-126063641,S2-448404308
S1-135018793	S2-125721091,S2-127017284,S2-182885998,S2-186789822,S2-187930029,S2-238052081,S2-395081073,S2-410205613,S2-427154479,S2-441773497,S2-452674127,S2-483189952,S2-501820388,S2-505302338,S2-512916891,S2-515958600,S2-567139021,S2-572893852,S2-658824978,S2-700564424,S2-712119959,S2-732518192,S2-771496311,S2-780251191,S2-799881295,S2-803798905,S2-834812477,S2-845166258,S2-851400057,S2-900897961,S2-910936057,S2-969069473,S2-989525111,S3-190763464,S3-386512917,S3-776835498,S3-782293568,S3-852992800,S3-893101723,S3-914665707
S1-135092861	S2-107174613,S2-280552454,S2-466122223,S2-869636669,S3-151975620,S3-247602853,S3-540470881,S3-618886129
S1-135859843	S2-486810718,S2-805943029,S2-933699180,S3-485683730,S3-986828830
S1-136463756	S2-619535922,S3-285646825,S3-361214073,S3-67631905,S3-922386951
S1-136645823	S2-177243070,S3-369163500,S3-415067361,S3-525349229
S1-138500512	
S1-138599179	S2-416565099,S2-877584804,S3-673230860
S1-138665366	S2-403415779,S2-725827813,S2-914387690,S3-176322362,S3-214330608,S3-269774588
S1-139100651	S2-189119698,S2-327072391,S2-481409894,S2-570141,S2-6441251,S2-753131301,S2-816027533,S3-104220422,S3-254706446,S3-358779829,S3-594456964,S3-636499971,S3-968853345
S1-13934814	
S1-139555987	S2-719519346,S3-423982971
S1-14170049	
S1-141838738	
S1-141924856	S2-405013819,S2-621097238,S2-711412883,S3-209560112
S1-142647069	S2-345186917,S2-407196282,S2-486527807,S2-93532100,S2-961998903,S3-169471283,S3-364776587,S3-71455754,S3-810466229
S1-142973237	
S1-143031559	S2-606424991,S2-75116020,S2-87765343,S3-356799161,S3-586005776
S1-143242747	S2-551297698,S2-69315104,S3-514321966,S3-588978587,S3-656841918,S3-698547657
S1-143597809	S2-162763788,S2-967305309
S1-145237612	S2-886230980,S2-910603093,S3-483747264,S3-496417238
S1-145448545	S2-121038365,S2-421370078,S2-593810576,S3-389024131,S3-541865770
S1-145515920	S2-472271406,S2-820153109,S3-160959199,S3-254171656,S3-722677951,S3-779000449,S3-855922303
S1-145768302	S2-274967138,S2-429327438,S3-260423024,S3-452111215,S3-823713418,S3-887271597
S1-14671612	S2-255370424,S2-30034044,S2-380936165,S2-493245845,S2-703161210,S3-253475513,S3-855660140
S1-147362702	S2-227437167,S2-433995845,S2-706795129,S2-78481511,S3-134749540,S3-27687312,S3-806030912
S1-147805888	S2-54629063,S2-618059339,S3-649054241
S1-1481484	S2-147664766,S2-268119623,S2-296456453,S3-217198891
S1-148307787	S2-370575004,S2-914453945,S3-129639777,S3-361764414,S3-384097268,S3-609524200,S3-638203172
S1-148746161	S2-118135583,S2-131070878,S2-174480872,S3-754995763
S1-148952322	S2-108095283,S2-483715640,S2-646692601,S2-707135753,S2-716922073,S3-132025171,S3-83031019,S3-873065960
S1-148972025	S2-385748213,S2-783246335,S2-860072952
S1-149222539	S2-451182261,S2-588415512,S2-741368532,S2-750913022,S3-406735398,S3-419549804,S3-622235040
S1-151073508	S2-63551272,S2-847678184,S2-992136246,S3-268890484,S3-381625711,S3-407651399,S3-923550630
S1-151288193	S2-208664681,S2-269146450,S2-487204238,S3-547878488,S3-726980858
S1-152063913	S2-23097670,S2-939968662,S3-279707548,S3-314446984,S3-570789831,S3-597871260,S3-614927899,S3-809560929
S1-15268273	
S1-152684414	S2-362236784,S2-529937754,S2-630209190,S3-836818664
S1-15280189	S2-333703771,S3-355740159,S3-460219471
S1-153022243	S2-578841817,S2-708866973,S3-254986315,S3-345374966,S3-997978868
S1-153052378	S2-260175068,S2-5429444,S2-57090340,S3-40942780,S3-927603575
S1-153861183	S2-59468027,S2-668100220,S3-105074443,S3-930382804
S1-15554340	S2-145019770,S2-789647501,S2-991753258,S2-998348589,S3-573237417,S3-640751958
S1-155642403	S2-213726573,S2-441341822,S2-974240540,S3-302581276,S3-945622970
S1-156557617	S2-302227228,S2-376284869,S3-35575706
S1-158085956	S2-589311019,S2-615968375,S2-911435615,S3-566390860
S1-158716148	S2-252163660,S2-798980999,S2-902273804,S3-251336467,S3-320716717,S3-597871260,S3-601080759,S3-733457889,S3-776835498,S3-899875040,S3-991193178
S1-159564532	S2-106668297,S2-531182441,S2-589580501,S3-54252076,S3-808431881
S1-15973308	S2-731285180,S2-930959209,S3-746926038
S1-160794881	S2-389360239,S2-420358280,S2-552654851,S2-988299211,S3-843662269
S1-161242415	S3-139207592,S3-465623114
S1-161514778	S2-172864539,S2-430204827,S2-51802035,S3-267246233,S3-750647048,S3-790888822
S1-161671316	S2-397787002,S2-436021164,S2-453870155,S2-574390896,S2-82076220,S2-878943167,S3-135880565,S3-376531775
S1-161829828	S3-480040036
S1-161858196	S2-477664885,S3-202844444
S1-161904798	S2-950049500,S3-103719923,S3-121694661,S3-663076005,S3-996347195
S1-16236092	S2-207469129,S2-815941672,S2-939398005,S3-537685218
S1-162511044	S3-138110233
S1-162661524	S2-9992874
S1-162665143	
S1-163217525	S2-24957987,S2-401708089,S3-300886724,S3-406722388,S3-845376034,S3-865375307,S3-96991992
S1-163545256	S2-38932758,S3-907608236
S1-163572784	S2-46319343,S3-978543042
S1-163656530	S2-152170139,S2-255905105,S3-18101426,S3-244201260,S3-808036318,S3-80883283,S3-953342463,S3-962314908
S1-164013104	S2-172819928,S2-327908970,S2-329157805,S2-379443935,S2-68398475,S2-744131875,S2-939146576,S2-983837825,S3-702247046,S3-85593195
S1-164150228	S2-126354878,S2-346623774,S2-744276176,S3-23289144,S3-766853984,S3-872738056
S1-164451034	S2-217660900,S2-423774172,S2-488676656,S2-637688321,S2-744228996,S3-305148731
S1-164679788	S2-551477577
S1-165066641	S2-461922904,S2-93411540,S3-756943933
S1-165300031	S2-482415436,S2-639441650,S3-591900655,S3-741210184,S3-920049076
S1-165670278	S3-263525037,S3-446588222,S3-529270249,S3-598410001
S1-165909369	S2-309552713,S2-447840900,S3-874473733,S3-896037556
S1-166454785	S2-434035908,S2-687528770,S3-120443478,S3-632553484
S1-169367814	S2-161367492,S2-173508020,S2-311310116,S2-447344461,S2-754656443,S3-514407377,S3-675582775,S3-780970425,S3-977128701
S1-170012565	S2-6043201,S3-328079621
S1-171377563	S3-645354743
S1-171736325	S2-825438481,S3-861381546,S3-975199785
S1-172123772	S2-169788626,S2-214463558,S2-328588090,S2-346020311,S2-656492762,S2-778083203,S2-831784456,S2-87631751,S2-921606704,S2-95748943,S2-979579690,S3-154078642,S3-254228809,S3-268668955,S3-395325659,S3-404981281,S3-470539529,S3-541999194,S3-574233378,S3-575909252,S3-617864515,S3-925456302,S3-980267344
S1-173359423	
S1-17371412	S2-138602241,S2-420270319,S2-485720212,S2-700397229,S3-396627447,S3-657386017,S3-680972666,S3-71093858
S1-173789008	S3-331885573,S3-615305676,S3-643923460
S1-174411484	S2-775072031,S3-583333725
S1-175586370	S2-359147196,S2-425579317,S2-580895971,S2-686031379,S2-706729473,S3-707961662
S1-175805396	S2-537700586,S3-405714401,S3-425353350,S3-783277784
S1-175990771	S2-105706991,S2-11719472,S2-120737281,S2-146228964,S2-160448098,S2-220622969,S2-239141469,S2-287114287,S2-296676041,S2-330600457,S2-340814974,S2-38407765,S2-412330898,S2-444016500,S2-471140172,S2-471539165,S2-490246183,S2-494816960,S2-496749855,S2-501983034,S2-519376196,S2-530766088,S2-569260214,S2-637017205,S2-651851490,S2-654246479,S2-65785418,S2-690153191,S2-691451325,S2-700101523,S2-719752197,S2-724174997,S2-734450579,S2-736629115,S2-775881067,S2-842637137,S2-846744645,S2-853536004,S2-872014539,S2-899667549,S2-910013898,S2-961294665,S2-963293355,S3-240481199,S3-267817458,S3-521615840,S3-643497249,S3-667803580,S3-718630376,S3-791907059,S3-823570328,S3-880470399,S3-896054423
S1-176712381	S2-212963205,S2-532141242,S3-130780046,S3-544493022
S1-17742800	S2-505123217,S2-872153705,S3-228019910,S3-281242253,S3-368339007,S3-437297829,S3-648133343,S3-983047522
S1-178094146	S2-200888854,S2-204682450,S2-204742663,S2-215814288,S2-325279316,S2-33419167,S2-343051226,S2-353387995,S2-47604384,S2-486544070,S2-486669991,S2-57339913,S2-580459679,S2-590222088,S2-634466562,S2-731610758,S2-747949834,S2-761058995,S2-804985211,S2-838518106,S2-843058880,S2-871266650,S2-884091284,S2-925664698,S3-124999881,S3-536691777,S3-591567981,S3-693584904,S3-991688186
S1-178491889	S2-86506067,S2-868499387,S3-872978994
S1-178530251	S3-579111825
S1-178594264	S2-642828375,S3-204769721,S3-259332382,S3-64708312
S1-179042512	S2-263393507,S2-400288276,S2-430903676,S2-549116951,S3-131432568,S3-754817512,S3-823089827,S3-921022223
S1-179187000	S2-34496139,S3-5389476,S3-576013663,S3-814185756,S3-837889040,S3-972181561,S3-995810856
S1-179412520	S2-219870777,S2-476640870,S3-629607860,S3-765118500
S1-179454045	S2-970697845,S3-364350414,S3-90138810
S1-18048797	S2-218957842,S2-283898659,S2-299352,S3-989363684
S1-180700949	S2-734596844
S1-180953986	S2-777800745,S2-988841805,S3-348037444,S3-447070372,S3-688276979
S1-181159019	S2-237150394,S2-402465241,S2-631421584
S1-182096015	S2-15221937,S2-204682450,S2-463692322,S2-4735407,S2-590222088,S2-621957046,S2-634596621,S2-853136988
S1-182239781	S2-144156959,S2-655730659,S2-749412613,S3-550802669,S3-624226762,S3-722701344
S1-182240223	S2-147817704,S2-192202938,S2-407937129,S2-506193365,S2-580601983,S2-594565721,S2-784260616,S2-903325056,S3-152409826,S3-319166487,S3-467743039,S3-612802419,S3-72873327,S3-729277240
S1-183514020	S2-883018911,S3-109728815,S3-50973515,S3-772807263
S1-183709540	S2-255717140,S3-691066009
S1-183838969	S2-879247913,S3-148575054
S1-184679021	S2-973785441
S1-184726226	S2-483324872,S2-843595601,S2-928913036,S3-22660920,S3-415622416,S3-673635463,S3-935803924
S1-184875582	S2-616540439,S2-688900889,S3-752873823,S3-845526087
S1-185357528	S2-738179540,S2-811442861,S3-112029776,S3-120726283,S3-612342690,S3-878180755
S1-187267643	S3-178074676,S3-206112492,S3-508086108,S3-722106121
S1-187702408	S2-468654706,S2-694303495,S3-144125870,S3-184840414,S3-495900304,S3-953224865
S1-187882560	S2-987112664,S3-37629570,S3-692753594
S1-189408085	S2-569141916,S3-856255331,S3-856557141
S1-189663062	S2-416752790,S3-208737582,S3-839490701,S3-99542374
S1-189760059	S2-506434769,S3-756297688
S1-190080798	S2-89745694,S2-978444288,S3-515501821,S3-561515116,S3-611598739,S3-849039325
S1-190259650	S2-148471355
S1-190275655	S2-29943792,S2-549730860,S2-800526104,S3-402369808
S1-190499706	S2-52842362,S2-591289065,S3-514569860,S3-563193171,S3-800826546,S3-802261861
S1-190583520	S2-298696982,S3-347487188,S3-924584151
S1-191730733	S2-153685803,S2-158154200,S2-339425696,S2-46328458,S3-537530752,S3-586554950,S3-994057379
S1-1934141	
S1-193768712	S2-314187025,S2-619149664,S2-704320949,S3-447154559
S1-194230101	S2-410692088,S2-89131100,S3-646786161
S1-194445268	S2-236404877,S3-370517706
S1-195119684	S2-414499167,S3-119932569,S3-275464889,S3-438091387,S3-540516595
S1-195274561	S3-260648971,S3-343245116,S3-963910560
S1-195476342	S2-610813389
S1-195601323	
S1-196000740	S2-513697256,S3-124667792,S3-394364106
S1-196201570	S2-29892224,S2-35554040,S2-423709852,S2-585449687,S2-650536091,S2-762552526,S2-835692087,S3-192536573,S3-348261983,S3-428648231,S3-675445656,S3-955130593
S1-19638865	S2-596364241,S3-383899087
S1-196399198	S2-294897882,S2-35554040,S2-555008182,S2-573097389,S2-631245416,S2-740236485,S2-757500657,S2-856996028,S3-354892567,S3-410026630,S3-464830319
S1-196668262	S2-47282530,S2-813356278,S3-105621228
S1-196773289	S2-288894920,S2-424516214,S3-821609754
S1-196987586	S2-117355790,S3-437106743
S1-197321226	S2-776396122,S3-969926105
S1-1974145	S2-123875170,S2-321869897,S2-576660714,S2-603426188,S3-605757959,S3-839722263,S3-954678438
S1-197800554	S2-64410420,S2-76076556,S2-978175788,S3-282239221,S3-461164559,S3-469297030,S3-588563140,S3-672886146,S3-82727063
S1-199107673	S2-14054540,S2-433864749,S2-787608124,S3-555639712
S1-199386490	S2-776785372,S2-81064498,S2-906312122,S3-230128848,S3-686794403
S1-200501374	S2-622114273,S2-919151745,S3-438396157,S3-706817854,S3-845786741,S3-858763771,S3-887857336
S1-200950699	S2-590944707,S2-648443172,S3-345066962,S3-531404933
S1-202140118	S2-641858345,S3-484640289
S1-202205045	S2-190918068,S2-298226064,S2-31939897,S2-549684557,S2-999723692,S3-361162627,S3-362159244,S3-57041341
S1-202959540	S2-402494341,S2-407890164,S2-495764288,S2-662520231,S2-675683103,S2-909267991,S3-140414846,S3-241123649,S3-397648912,S3-912937918,S3-978192498
S1-203059991	S2-316465375,S2-687834137,S3-307896565,S3-358523615,S3-521615840
S1-203146058	S2-655305212,S2-838668477,S2-849686496,S3-698005592,S3-730298995,S3-73835784,S3-875789138
S1-204043203	S2-514031170,S3-384166379,S3-471279102
S1-204393907	S2-272918139,S2-501120749,S2-87857321,S2-960599022,S3-132893641,S3-419074929,S3-640122280,S3-745579161,S3-813802029
S1-204541733	S2-314934771,S2-315819865,S3-127764916
S1-205499620	S2-362128977
S1-205928544	S2-124330584,S3-253006003,S3-887558195,S3-934186478
S1-206528976	S2-239603162,S2-722016438,S3-906803573
S1-206965113	S2-863340770,S3-363354629,S3-509097528,S3-56116997,S3-841867909,S3-947953381
S1-207907319	S2-417596306,S2-644208071,S3-354555831
S1-208433843	S2-38116067,S3-264047741,S3-31661155,S3-337846205,S3-584506716,S3-956767532
S1-209483563	S2-956331700,S3-421541896,S3-576185368
S1-210102081	S2-106873253,S2-131641546,S2-145965732,S2-161958157,S2-165839990,S2-174422048,S2-182122788,S2-204682450,S2-204742663,S2-215193704,S2-215814288,S2-227560513,S2-257161820,S2-265643642,S2-294699978,S2-297438757,S2-298341239,S2-303822688,S2-315301310,S2-325156267,S2-325279316,S2-336729159,S2-338986169,S2-356165559,S2-388434927,S2-399593262,S2-427307144,S2-433687850,S2-435854364,S2-43824315,S2-44931983,S2-455086001,S2-457586459,S2-46014483,S2-462338370,S2-467051817,S2-4735407,S2-474738950,S2-482750188,S2-486669991,S2-490777873,S2-503792831,S2-508600912,S2-512319081,S2-527470746,S2-535280372,S2-539034342,S2-539953239,S2-546872393,S2-560072410,S2-565462089,S2-566557047,S2-573780201,S2-581619463,S2-590222088,S2-615968375,S2-621957046,S2-622398844,S2-62709696,S2-633750945,S2-634466562,S2-649240822,S2-660217968,S2-692329369,S2-715443756,S2-716605032,S2-717079231,S2-72158227,S2-725748984,S2-731610758,S2-739966258,S2-747949834,S2-751975734,S2-765185639,S2-773175994,S2-798784547,S2-820663634,S2-853136988,S2-871266650,S2-874622618,S2-892175071,S2-910454358,S2-925664698,S2-947408913,S2-949658430,S2-954232034,S2-973124853,S2-975802745,S2-979234242,S3-128515999,S3-180445801,S3-249317537,S3-31961236,S3-348558762,S3-356998661,S3-419495997,S3-467572009,S3-49181058,S3-51126832,S3-528267893,S3-557809568,S3-56844924,S3-604628886,S3-609144702,S3-713687562,S3-730043286,S3-754072011,S3-764685224,S3-789324339,S3-802721688,S3-812163751,S3-907746908,S3-952200773,S3-953879173
S1-210255866	S2-951220757,S3-104648080,S3-142662701,S3-420000255,S3-677967996
S1-210264008	S2-456715035,S3-589721134
S1-211034741	S2-719170875,S2-89971750,S3-126973392
S1-211136456	S2-437589161,S2-515213589,S2-576560890,S3-702142774,S3-91439424
S1-211144640	S2-189199743,S2-400815513,S2-83256007,S2-964956359,S3-722441870,S3-742976067,S3-771036352,S3-815518139
S1-211635723	S2-593435070,S3-992948472
S1-211874329	S2-778404012
S1-212363226	S2-185225770,S2-555095448,S2-910154690,S3-310095974,S3-756538645,S3-916835590
S1-213649715	S2-171441738,S2-499422751,S3-749041205,S3-919868245
S1-215354145	S2-4299547,S2-505736518,S2-519522366,S2-54033879,S2-540687871,S2-563255340,S2-675837662,S2-790465795,S3-543309054,S3-58424902,S3-950580462
S1-215536876	S2-669236794,S2-984074376,S3-596045416
S1-215707398	S2-289348944,S2-469300729,S2-811323033,S3-711419498
S1-216329213	S3-238629635,S3-71951901
S1-218077197	S2-189653602,S2-711315024,S2-895156444,S3-301202670,S3-357154879,S3-588839438,S3-706252294
S1-219569074	S2-111299821,S2-138257415,S2-14586796,S2-16035988,S2-175123405,S2-178759326,S2-331408895,S2-363607058,S2-474385147,S2-532498367,S2-642696703,S2-657575654,S2-675389858,S2-681575516,S2-702424069,S2-717645169,S2-723012053,S2-730223032,S2-828313089,S2-980822181,S3-117731631,S3-118271258,S3-123553717,S3-126161770,S3-142662701,S3-155404395,S3-166192093,S3-171042443,S3-187618463,S3-196942038,S3-22012811,S3-240456580,S3-24074754,S3-245612191,S3-263317529,S3-263499630,S3-27041012,S3-273999350,S3-28061917,S3-290199096,S3-318815112,S3-336875197,S3-354863834,S3-393761860,S3-400308244,S3-413114405,S3-415622416,S3-427082357,S3-434117774,S3-455575153,S3-492984624,S3-501877088,S3-519453197,S3-520058973,S3-548199280,S3-568101871,S3-584282268,S3-603823870,S3-614895900,S3-684663219,S3-712519860,S3-720894292,S3-730741110,S3-772104527,S3-799376158,S3-803809089,S3-808036318,S3-810044144,S3-816359750,S3-823064560,S3-878006604,S3-898663905,S3-935801,S3-93925978
S1-220059099	S2-971363543
S1-2205757	S2-120336473,S2-131641546,S2-155542145,S2-182122788,S2-192646540,S2-204682450,S2-215814288,S2-303822688,S2-313005567,S2-373362310,S2-395810184,S2-427307144,S2-435854364,S2-48655118,S2-512319081,S2-541604574,S2-553774880,S2-615968375,S2-621957046,S2-633750945,S2-649240822,S2-717079231,S2-765185639,S2-798217782,S2-812699677,S2-844139904,S2-910454358,S2-919394886,S3-271008849,S3-385206946,S3-51126832,S3-528267893,S3-604628886,S3-60594682,S3-609144702,S3-690091512,S3-781468756,S3-810283426
S1-220638624	
S1-222008936	S2-939606253,S3-620864999
S1-222796142	S2-236091014,S2-751329139,S3-141948547,S3-199888622,S3-275930054,S3-888202193
S1-22308018	S2-121776025,S2-152756624,S2-83996201,S2-844481430
S1-223572573	S2-196601282,S2-311119814,S2-520316426,S2-523270071,S2-618037549,S2-880259477,S3-329210644
S1-22367105	S2-897771479,S3-354022254,S3-376730817,S3-773630298
S1-223973004	S2-130981344,S2-145945903,S2-629517585,S3-277758270
S1-224290523	S2-299832823,S2-591261393,S3-769884184
S1-224361062	S2-663663161,S2-867488601,S2-940989056,S3-702016371
S1-225094202	S2-287174851,S2-470147466,S2-713364360,S2-844038451,S3-4199207,S3-728476856
S1-225934729	S3-305749473,S3-337914517
S1-22607493	S2-58919310,S2-788367690,S3-346554890
S1-226249096	S2-949680833,S3-317747568,S3-605106460,S3-793932348
S1-227049875	S2-586218818,S2-661676635,S2-812845340,S3-679066653
S1-227113824	S2-531542748,S3-692452257,S3-890680175
S1-227425791	S2-250491732,S2-633794048,S3-116866023,S3-455391993
S1-227528541	S2-144128090,S2-561474614,S2-673434066,S2-789626670,S3-232448770,S3-260681754,S3-367663741
S1-228642080	S2-209697635,S3-272280923,S3-417536849
S1-229128989	S2-363251479,S2-466875505,S2-844355786,S3-285306721,S3-319443608,S3-406687625,S3-753619265,S3-857681136
S1-229574890	S2-408428656,S2-515436122,S2-79371204,S3-578840591,S3-989685337
S1-229656293	S2-204896839,S2-3353401,S2-455234910,S3-196518477,S3-230390781,S3-298783767
S1-229740967	S2-136527097,S2-178545240,S2-200098053,S2-338085364,S3-160042185,S3-687954005
S1-229801334	S2-455287313,S2-877828760,S3-668035038
S1-230566051	S2-625381354,S3-528308306
S1-23076244	S2-271932403,S2-458640966,S2-583349500,S2-817140649,S3-874260182,S3-939792208
S1-231441823	S2-303352753,S2-665324471,S2-784564008,S2-831328964,S2-958400485,S3-372144629,S3-46231520,S3-590071943,S3-762548514,S3-859284632
S1-232073030	S2-112160299,S2-182282325,S2-247703115,S2-297171374,S2-326460571,S2-336710848,S2-35554040,S2-389191690,S2-393794248,S2-394390305,S2-423709852,S2-442290654,S2-454110857,S2-512059400,S2-535152169,S2-536569453,S2-555008182,S2-560640973,S2-573097389,S2-626711432,S2-6370899,S2-644542231,S2-650536091,S2-740236485,S2-757500657,S2-762552526,S2-773205318,S2-807302533,S2-813048361,S2-825556124,S2-835692087,S2-845304696,S2-856996028,S3-110122286,S3-151959827,S3-171385915,S3-25536132,S3-309993071,S3-354510737,S3-397745064,S3-410026630,S3-455409469,S3-487828272,S3-495938269,S3-509500368,S3-569056393,S3-580899591,S3-594491381,S3-615890284,S3-618287981,S3-620127214,S3-648759812,S3-833196880,S3-840047870,S3-970260854,S3-991173961,S3-994187963
S1-232781465	S2-430318399,S2-517384275,S2-873833376,S2-897967287,S2-903985124,S2-951218555,S3-211377743,S3-624098669,S3-673633318,S3-774227335,S3-884991680
S1-232978292	S2-123237967,S2-165488780,S2-673377690,S2-689175737,S2-809426617,S3-73299293
S1-233194764	S2-131973803,S2-192127940,S2-259041573,S2-342793504,S2-358097553,S2-697092005,S2-754904635,S3-129606300,S3-965312881
S1-233227723	S2-29981833,S3-197606423,S3-806144243
